Election,County,Rwinner,Rmargin,Rparty,RTotalVotes,Rabsentee,RPctAbsentee,Nwinner,Nparty,Nmargin,NTotalVotes,Nabsentee,NPctAbsentee,RPctVotesWinner,RPctVotesLoser,RNoVotesWinner,RNoVotesLoser,NPctVotesWinner,NPctVotesLoser,NNoVotesWinner,NNoVotesLoser,NoTurnoutChange,TurnoutPctChange,MarginChange,WinnerNoChange,WinnerPctChange
SPECIAL,Spalding,Loeffler ,18,R,"26,926","18,785",0.7,Loeffler ,R,20.3,"29,713","21,033",0.71,59,41,"15,886","11,040",60.15,39.85,"17,872","11,841","-2,787",-0.09,-2.3,-1986,-0.11
SPECIAL,Stephens,Loeffler ,59,R,"10,034","7,926",0.79,Collins ,R,62,"11,638","10,112",0.87,79.5,20.5,"7,977","2,057",81,19,"9,427","2,211","-1,604",-0.14,-3,-1450,-0.15
SPECIAL,Stewart,Warnock ,24,D,"1,803","1,216",0.67,Warnock ,D,19.3,"1,906","1,401",0.74,62,38,"1,118",685,59.65,40.35,"1,137",769,-103,-0.05,4.7,-19,-0.02
SPECIAL,Sumter,Warnock ,6,D,"11,079","8,012",0.72,Warnock ,D,4.6,"11,978","9,297",0.78,53,47,"5,872","5,207",52.3,47.7,"6,264","5,714",-899,-0.08,1.4,-392,-0.06
SPECIAL,Talbot,Warnock ,22,D,"3,188","2,060",0.65,Warnock ,D,18.4,"3,452","2,455",0.71,61,39,"1,945","1,243",59.2,40.8,"2,044","1,408",-264,-0.08,3.6,-99,-0.05
SPECIAL,Taliaferro,Warnock ,21,D,847,590,0.7,Warnock ,D,19.5,884,690,0.78,60.5,39.5,512,335,59.75,40.25,528,356,-37,-0.04,1.5,-16,-0.03
SPECIAL,Tattnall,Loeffler ,48,R,"7,215","4,503",0.62,Loeffler ,R,49.1,"7,937","6,025",0.76,74,26,"5,339","1,876",74.55,25.45,"5,917","2,020",-722,-0.09,-1.1,-578,-0.10
SPECIAL,Taylor,Loeffler ,22,R,"3,473","2,397",0.69,Loeffler ,R,27.2,"3,769","3,129",0.83,61,39,"2,119","1,354",63.6,36.4,"2,397","1,372",-296,-0.08,-5.2,-278,-0.12
SPECIAL,Telfair,Loeffler ,30,R,"3,845","2,405",0.63,Collins ,R,29.6,"4,189","2,951",0.7,65,35,"2,499","1,346",64.8,35.2,"2,714","1,475",-344,-0.08,0.4,-215,-0.08
SPECIAL,Terrell,Warnock ,10,D,"4,123","2,740",0.66,Warnock ,D,6.3,"4,348","3,120",0.72,55,45,"2,268","1,855",53.15,46.85,"2,311","2,037",-225,-0.05,3.7,-43,-0.02
SPECIAL,Thomas,Loeffler ,21,R,"19,233","13,867",0.72,Collins ,R,22.2,"21,253","17,131",0.81,60.5,39.5,"11,636","7,597",61.1,38.9,"12,986","8,267","-2,020",-0.1,-1.2,-1350,-0.10
SPECIAL,Tift,Loeffler ,34,R,"14,418","9,627",0.67,Loeffler ,R,35,"15,987","12,152",0.76,67,33,"9,660","4,758",67.5,32.5,"10,791","5,196","-1,569",-0.1,-1,-1131,-0.10
SPECIAL,Toombs,Loeffler ,46,R,"9,409","6,523",0.69,Collins ,R,45.9,"10,651","8,288",0.78,73,27,"6,869","2,540",72.95,27.05,"7,770","2,881","-1,242",-0.12,0.1,-901,-0.12
